#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  36
#! SET periodic_phi true
   -3.141592654 -161.623677343  -50.167225045
   -2.967059728 -168.959310026  -33.818044598
   -2.792526803 -173.402509537  -17.435221232
   -2.617993878 -175.169280415   -3.523813719
   -2.443460953 -174.898801240    5.548081645
   -2.268928028 -173.618238024    7.880733741
   -2.094395102 -172.530318391    3.645410165
   -1.919862177 -172.540490062   -3.944513637
   -1.745329252 -173.779219320   -9.523904807
   -1.570796327 -175.453090281   -8.433250340
   -1.396263402 -176.225926201    0.653209456
   -1.221730476 -174.892316659   14.973521152
   -1.047197551 -170.953850591   29.669254754
   -0.872664626 -164.759618024   40.222483538
   -0.698131701 -157.280434157   44.099285500
   -0.523598776 -149.764966911   40.668692974
   -0.349065850 -143.456576591   30.439361550
   -0.174532925 -139.422914033   14.928307067
    0.000000000 -138.390402881   -3.434540613
    0.174532925 -140.583657671  -21.486260685
    0.349065850 -145.647196064  -35.744071972
    0.523598776 -152.618904358  -42.940645575
    0.698131701 -160.021599228  -40.228491641
    0.872664626 -165.972204729  -26.219182643
    1.047197551 -168.548590883   -1.996699862
    1.221730476 -166.313742267   27.906809612
    1.396263402 -158.903822936   55.819457036
    1.570796327 -147.416485936   73.322138651
    1.745329252 -134.274031159   74.120427987
    1.919862177 -122.599603311   56.752624001
    2.094395102 -115.269264308   25.506713908
    2.268928028 -113.988287699  -10.966414353
    2.443460953 -118.806010107  -42.874569243
    2.617993878 -128.241691636  -63.029798879
    2.792526803 -139.964051059  -69.142367634
    2.967059728 -151.658777435  -63.356259876
