#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  36
#! SET periodic_phi true
   -3.141592654  -90.565611794  -54.556026493
   -2.967059728  -98.594564090  -36.951587785
   -2.792526803 -103.373067060  -18.030988320
   -2.617993878 -105.053021232   -2.064409159
   -2.443460953 -104.455138773    7.668644539
   -2.268928028 -102.831573163    9.633247591
   -2.094395102 -101.491633966    4.822037434
   -1.919862177 -101.332191279   -3.087400744
   -1.745329252 -102.440992481   -8.832191053
   -1.570796327 -104.018188874   -7.949848025
   -1.396263402 -104.739080099    0.833348351
   -1.221730476 -103.401464625   14.916455896
   -1.047197551  -99.497022741   29.367923920
   -0.872664626  -93.388155901   39.551872802
   -0.698131701  -86.078034118   42.911128479
   -0.523598776  -78.811942537   39.128255914
   -0.349065850  -72.758554172   29.249177581
   -0.174532925  -68.855337340   14.740673474
    0.000000000  -67.770115437   -2.719861758
    0.174532925  -69.837918806  -20.924107183
    0.349065850  -74.918864506  -36.617864216
    0.523598776  -82.202650612  -45.447999764
    0.698131701  -90.100250041  -43.016883799
    0.872664626  -96.408293126  -27.150592095
    1.047197551  -98.894036299    0.059354955
    1.221730476  -96.104763107   31.863056472
    1.396263402  -88.033592604   59.030769478
    1.570796327  -76.242811548   73.425721947
    1.745329252  -63.382657280   71.053520125
    1.919862177  -52.354931389   53.009832779
    2.094395102  -45.499400469   24.288687346
    2.268928028  -44.089901879   -8.217167898
    2.443460953  -48.179734957  -37.680614608
    2.617993878  -56.741947568  -58.746071177
    2.792526803  -68.008782630  -68.398088385
    2.967059728  -79.914894996  -66.305444594
