#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  36
#! SET periodic_phi true
   -3.141592654   15.796052683  -56.528636367
   -2.967059728    7.280653038  -40.178047376
   -2.792526803    1.973814526  -20.549910421
   -2.617993878    0.000000000   -2.810842377
   -2.443460953    0.615189388    8.506447231
   -2.268928028    2.450773398   11.034834702
   -2.094395102    4.000518662    5.683062334
   -1.919862177    4.218275878   -3.308475187
   -1.745329252    2.984124887   -9.950623058
   -1.570796327    1.177084409   -9.303749437
   -1.396263402    0.250069908   -0.041440989
   -1.221730476    1.507262319   14.918113434
   -1.047197551    5.483344920   30.161284668
   -0.872664626   11.764669671   40.661812007
   -0.698131701   19.258454977   43.844220606
   -0.523598776   26.657211338   39.725068449
   -0.349065850   32.795289491   29.679338298
   -0.174532925   36.770720371   15.182189006
    0.000000000   37.924487414   -2.397660344
    0.174532925   35.874461890  -21.084761015
    0.349065850   30.708960381  -37.397507930
    0.523598776   23.263157144  -46.364091552
    0.698131701   15.255640887  -43.198710718
    0.872664626    9.026408814  -26.051000633
    1.047197551    6.816290761    1.949074630
    1.221730476    9.893599521   32.989959715
    1.396263402   17.964511591   57.704562388
    1.570796327   29.254975937   69.088847612
    1.745329252   41.173174462   64.979674670
    1.919862177   51.176012969   47.815343932
    2.094395102   57.395983437   22.564872947
    2.268928028   58.894022911   -5.457051184
    2.443460953   55.605048933  -31.598594042
    2.617993878   48.202248889  -52.041869892
    2.792526803   37.953504976  -63.802493206
    2.967059728   26.546992857  -65.232450714
