#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  30
#! SET periodic_phi true
   -3.141592654 -122.124832472  -55.069216085
   -2.932153143 -131.393731894  -32.808076969
   -2.722713633 -135.812305261  -10.245383694
   -2.513274123 -136.171249218    5.002507196
   -2.303834613 -134.489156262    9.104759268
   -2.094395102 -133.017314022    3.772285465
   -1.884955592 -133.123247150   -4.633453352
   -1.675516082 -134.627732920   -8.408000572
   -1.466076572 -135.979916144   -2.802784602
   -1.256637061 -135.198134374   11.308396219
   -1.047197551 -131.035644732   28.245926849
   -0.837758041 -123.661954429   40.820894583
   -0.628318531 -114.577424992   43.996014318
   -0.418879020 -105.968305428   36.329490064
   -0.209439510  -99.986195383   19.363372106
    0.000000000  -98.236784615   -3.360674629
    0.209439510 -101.402800968  -26.464341537
    0.418879020 -108.841148391  -42.844380236
    0.628318531 -118.353403006  -45.201179551
    0.837758041 -126.488832492  -29.565229509
    1.047197551 -129.641730824    1.189407904
    1.256637061 -125.605749019   36.943639703
    1.466076572 -114.746330399   64.155894421
    1.675516082 -100.082795266   72.056668808
    1.884955592  -86.147879891   57.403516569
    2.094395102  -77.250566447   25.394428084
    2.303834613  -75.964056401  -13.232707215
    2.513274123  -82.423941483  -46.762957723
    2.722713633  -94.560918718  -66.346203277
    2.932153143 -108.976961591  -68.424840125
