#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  60
#! SET periodic_phi true
   -3.141592654   15.631417262  -49.904586611
   -3.036872898   10.824646604  -41.652713710
   -2.932153143    6.954515829  -32.143324786
   -2.827433388    4.112409243  -22.150702012
   -2.722713633    2.290416490  -12.829055604
   -2.617993878    1.367291566   -5.213258499
   -2.513274123    1.128420099    0.276873732
   -2.408554368    1.360897158    3.843525487
   -2.303834613    1.894634279    6.101412800
   -2.199114858    2.613269101    7.381842206
   -2.094395102    3.398835840    7.208591883
   -1.989675347    4.051973831    4.682858777
   -1.884955592    4.293717555   -0.612916208
   -1.780235837    3.880720105   -7.437562804
   -1.675516082    2.798464280  -12.798109910
   -1.570796327    1.384136810  -13.381188920
   -1.466076572    0.242951143   -7.532075970
   -1.361356817    0.000000000    3.312681899
   -1.256637061    1.001666810   15.571997598
   -1.151917306    3.200543774   25.685377760
   -1.047197551    6.268619774   32.193652452
   -0.942477796    9.856587312   35.864363238
   -0.837758041   13.762401682   38.545375920
   -0.733038286   17.946684527   41.223419923
   -0.628318531   22.388175350   43.195031130
   -0.523598776   26.914311278   42.579983318
   -0.418879020   31.168600329   37.829734945
   -0.314159265   34.706657197   28.965087567
   -0.209439510   37.164866621   17.615576776
   -0.104719755   38.390057463    5.649231243
    0.000000000   38.388200005   -5.657862916
    0.104719755   37.246817575  -16.155799410
    0.209439510   35.037215049  -26.012398278
    0.314159265   31.841641896  -34.947174802
    0.418879020   27.801530192  -41.885939626
    0.523598776   23.198678457  -45.468574666
    0.628318531   18.448057221  -44.589556908
    0.733038286   14.042028197  -38.891422963
    0.837758041   10.460482223  -28.991153450
    0.942477796    8.084821234  -16.046501320
    1.047197551    7.177397663   -1.129545832
    1.151917306    7.906956323   15.148592884
    1.256637061   10.387308942   32.210705636
    1.361356817   14.653232310   48.978614252
    1.466076572   20.578486750   63.575761466
    1.570796327   27.821052767   73.743234438
    1.675516082   35.817196239   77.705696728
    1.780235837   43.858161569   74.598784361
    1.884955592   51.201355054   64.367298799
    1.989675347   57.135497503   47.870605238
    2.094395102   61.074082210   26.617607843
    2.199114858   62.635540115    2.933952225
    2.303834613   61.719935076  -20.195940976
    2.408554368   58.545696956  -39.798106419
    2.513274123   53.594531928  -53.839227750
    2.617993878   47.489439554  -61.974801944
    2.722713633   40.807096791  -65.016258691
    2.827433388   34.008229171  -64.435275688
    2.932153143   27.403852584  -61.402633071
    3.036872898   21.217466737  -56.523751181
