#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  36
#! SET periodic_phi true
   -3.141592654 -160.958218642  -50.046586923
   -2.967059728 -168.318621526  -34.176742077
   -2.792526803 -172.847241122  -18.059461405
   -2.617993878 -174.739320261   -4.335877443
   -2.443460953 -174.619976544    4.671723752
   -2.268928028 -173.469601146    7.354334442
   -2.094395102 -172.417861242    3.787668396
   -1.919862177 -172.354857021   -3.329046161
   -1.745329252 -173.490240169   -9.089935379
   -1.570796327 -175.140569685   -8.633635383
   -1.396263402 -175.996608855    0.014497262
   -1.221730476 -174.769491290   14.539763037
   -1.047197551 -170.858952351   29.737213090
   -0.872664626 -164.618937762   40.551706766
   -0.698131701 -157.110507913   44.061991846
   -0.523598776 -149.664651161   39.941375018
   -0.349065850 -143.518586774   29.401191353
   -0.174532925 -139.644899656   14.224448372
    0.000000000 -138.684333366   -3.623861109
    0.174532925 -140.892322228  -21.540508070
    0.349065850 -145.998443464  -36.235830976
    0.523598776 -153.107855470  -43.937257335
    0.698131701 -160.697767624  -41.286954349
    0.872664626 -166.796914258  -26.821293689
    1.047197551 -169.425898720   -2.004203517
    1.221730476 -167.157277185   28.226733814
    1.396263402 -159.677833354   56.261124656
    1.570796327 -148.112356081   73.791331468
    1.745329252 -134.893713582   74.522764114
    1.919862177 -123.160800552   57.014996799
    2.094395102 -115.783255331   25.795673112
    2.268928028 -114.423903289  -10.253842699
    2.443460953 -119.059379413  -41.477690261
    2.617993878 -128.203346519  -61.181689424
    2.792526803 -139.610329332  -67.480628067
    2.967059728 -151.073204814  -62.470784302
