#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  36
#! SET periodic_phi true
   -3.141592654  -64.951849623  -55.660600055
   -2.967059728  -73.351109370  -39.730903648
   -2.792526803  -78.611658381  -20.432789826
   -2.617993878  -80.578449410   -2.808198591
   -2.443460953  -79.958236837    8.590592406
   -2.268928028  -78.093268043   11.292146129
   -2.094395102  -76.483612069    6.097340536
   -1.919862177  -76.187281317   -2.842663781
   -1.745329252  -77.347761669   -9.596421367
   -1.570796327  -79.112778923   -9.208652516
   -1.396263402  -80.049835987   -0.247769412
   -1.221730476  -78.852456018   14.464192169
   -1.047197551  -74.969323658   29.569952128
   -0.872664626  -68.793867028   40.053691009
   -0.698131701  -61.398832510   43.337613837
   -0.523598776  -54.075629117   39.380287400
   -0.349065850  -47.983543227   29.485427376
   -0.174532925  -44.030268184   15.118273347
    0.000000000  -42.876808037   -2.351447609
    0.174532925  -44.905754377  -20.876731311
    0.349065850  -50.020253989  -37.021482084
    0.523598776  -57.393383934  -45.915324077
    0.698131701  -65.330621840  -42.870463935
    0.872664626  -71.520527039  -25.929819456
    1.047197551  -73.721027791    1.969238232
    1.221730476  -70.634479165   33.111250144
    1.396263402  -62.526272612   57.998578355
    1.570796327  -51.182799341   69.343549759
    1.745329252  -39.250372903   64.823130130
    1.919862177  -29.332748463   46.994304062
    2.094395102  -23.306820818   21.217824371
    2.268928028  -22.053054266   -6.811891713
    2.443460953  -25.534535847  -32.363668582
    2.617993878  -32.994660212  -51.913868923
    2.792526803  -43.152072712  -62.946129549
    2.967059728  -54.380442179  -64.127967627
