#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  20
#! SET periodic_phi true
   -3.141592654 -124.718194025  -41.825924487
   -2.827433388 -136.923134020  -30.782274195
   -2.513274123 -145.425958653  -13.453771392
   -2.199114858 -148.189046755   -3.463368777
   -1.884955592 -148.223903330    2.373424960
   -1.570796327 -145.360402204   12.628941934
   -1.256637061 -139.525846077   23.697716484
   -0.942477796 -130.690374644   31.425664923
   -0.628318531 -121.005053793   29.347323299
   -0.314159265 -114.655592965   15.781245375
    0.000000000 -113.902605519   -6.553968964
    0.314159265 -119.355476084  -24.840959351
    0.628318531 -127.385081680  -24.290509492
    0.942477796 -132.079750355   -4.506775150
    1.256637061 -129.802479706   22.838687996
    1.570796327 -120.415015195   39.907597595
    1.884955592 -108.541438105   33.853272440
    2.199114858 -101.278946155    9.407724445
    2.513274123 -102.467461854  -18.834390483
    2.827433388 -111.685665291  -38.343608240
